"","Index","Wortlaut"
"2063","HGB § 517 (1)"," Das Konnossement begründet die Vermutung, dass der Verfrachter das Gut so übernommen hat, wie es nach § 515 Absatz 1 Nummer 7 und 8 beschrieben ist. Bezieht sich die Beschreibung auf den Inhalt eines geschlossenen Lademittels, so begründet das Konnossement jedoch nur dann die Vermutung nach Satz 1, wenn der Inhalt vom Verfrachter überprüft und das Ergebnis der Überprüfung im Konnossement eingetragen worden ist. Enthält das Konnossement keine Angabe über die äußerlich erkennbare Verfassung oder Beschaffenheit des Gutes, so begründet das Konnossement die Vermutung, dass der Verfrachter das Gut in äußerlich erkennbar guter Verfassung und Beschaffenheit übernommen hat."
"2064","HGB § 517 (2)"," Das Konnossement begründet die Vermutung nach Absatz 1 nicht, soweit der Verfrachter einen Vorbehalt in das Konnossement eingetragen hat. Aus dem Vorbehalt muss sich ergeben, 1.in welcher Verfassung das Gut bei seiner Übernahme durch den Verfrachter war oder wie das Gut bei seiner Übernahme beschaffen war,2.welche Angabe im Konnossement unrichtig ist und wie die richtige Angabe lautet,3.welchen Grund der Verfrachter zu der Annahme hatte, dass die Angabe unrichtig ist, oder4.weshalb der Verfrachter keine ausreichende Gelegenheit hatte, die Angabe nachzuprüfen."
"2065","HGB § 518 ","§ 518Stellung des Reeders bei mangelhafter Verfrachterangabe
Ist in einem Konnossement, das vom Kapitän oder von einem anderen zur Zeichnung von Konnossementen für den Reeder Befugten ausgestellt wurde, der Verfrachter nicht angegeben oder ist in diesem Konnossement als Verfrachter eine Person angegeben, die nicht der Verfrachter ist, so ist aus dem Konnossement anstelle des Verfrachters der Reeder berechtigt und verpflichtet."
"2066","HGB § 519 ","§ 519Berechtigung aus dem Konnossement. Legitimation
Die im Konnossement verbrieften seefrachtvertraglichen Ansprüche können nur von dem aus dem Konnossement Berechtigten geltend gemacht werden. Zugunsten des legitimierten Besitzers des Konnossements wird vermutet, dass er der aus dem Konnossement Berechtigte ist. Legitimierter Besitzer des Konnossements ist, wer ein Konnossement besitzt, das 1.auf den Inhaber lautet,2.an Order lautet und den Besitzer als Empfänger benennt oder durch eine ununterbrochene Reihe von Indossamenten ausweist oder3.auf den Namen des Besitzers lautet."
"2067","HGB § 520 ","§ 520Befolgung von Weisungen
"
"2068","HGB § 520 (1)"," Ist ein Konnossement ausgestellt, so steht das Verfügungsrecht nach den §§ 491 und 492 ausschließlich dem legitimierten Besitzer des Konnossements zu. Der Verfrachter darf Weisungen nur gegen Vorlage sämtlicher Ausfertigungen des Konnossements ausführen. Weisungen eines legitimierten Besitzers des Konnossements darf der Verfrachter jedoch nicht ausführen, wenn ihm bekannt oder infolge grober Fahrlässigkeit unbekannt ist, dass der legitimierte Besitzer des Konnossements nicht der aus dem Konnossement Berechtigte ist."
"2069","HGB § 520 (2)"," Befolgt der Verfrachter Weisungen, ohne sich sämtliche Ausfertigungen des Konnossements vorlegen zu lassen, haftet er dem aus dem Konnossement Berechtigten für den Schaden, der diesem daraus entsteht. Die Haftung ist auf den Betrag begrenzt, der bei Verlust des Gutes zu zahlen wäre."
"2070","HGB § 521 ","§ 521Ablieferung gegen Rückgabe des Konnossements
"
"2071","HGB § 521 (1)"," Nach Ankunft des Gutes am Löschplatz ist der legitimierte Besitzer des Konnossements berechtigt, vom Verfrachter die Ablieferung des Gutes zu verlangen. Macht der legitimierte Besitzer des Konnossements von diesem Recht Gebrauch, ist er entsprechend § 494 Absatz 2 und 3 zur Zahlung der Fracht und einer sonstigen Vergütung verpflichtet."
"2072","HGB § 521 (2)"," Der Verfrachter ist zur Ablieferung des Gutes nur gegen Rückgabe des Konnossements, auf dem die Ablieferung bescheinigt ist, und gegen Leistung der noch ausstehenden, nach § 494 Absatz 2 und 3 geschuldeten Zahlungen verpflichtet. Er darf das Gut jedoch nicht dem legitimierten Besitzer des Konnossements abliefern, wenn ihm bekannt oder infolge grober Fahrlässigkeit unbekannt ist, dass der legitimierte Besitzer des Konnossements nicht der aus dem Konnossement Berechtigte ist."
"2073","HGB § 521 (3)"," Sind mehrere Ausfertigungen des Konnossements ausgestellt, so ist das Gut dem legitimierten Besitzer auch nur einer Ausfertigung des Konnossements abzuliefern. Melden sich mehrere legitimierte Besitzer, so hat der Verfrachter das Gut in einem öffentlichen Lagerhaus oder in sonst sicherer Weise zu hinterlegen und die Besitzer, die sich gemeldet haben, unter Angabe der Gründe seines Verfahrens hiervon zu benachrichtigen. Der Verfrachter kann in diesem Fall das Gut gemäß § 373 Absatz 2 bis 4 verkaufen lassen, wenn es sich um verderbliche Ware handelt oder der Zustand des Gutes eine solche Maßnahme rechtfertigt oder wenn die andernfalls zu erwartenden Kosten in keinem angemessenen Verhältnis zum Wert des Gutes stehen."
"2074","HGB § 521 (4)"," Liefert der Verfrachter das Gut einem anderen als dem legitimierten Besitzer des Konnossements oder, im Falle des Absatzes 2 Satz 2, einem anderen als dem aus dem Konnossement Berechtigten ab, haftet er für den Schaden, der dem aus dem Konnossement Berechtigten daraus entsteht. Die Haftung ist auf den Betrag begrenzt, der bei Verlust des Gutes zu zahlen wäre."
"2075","HGB § 522 ","§ 522Einwendungen
"
"2076","HGB § 522 (1)"," Dem aus dem Konnossement Berechtigten kann der Verfrachter nur solche Einwendungen entgegensetzen, die die Gültigkeit der Erklärungen im Konnossement betreffen oder sich aus dem Inhalt des Konnossements ergeben oder dem Verfrachter unmittelbar gegenüber dem aus dem Konnossement Berechtigten zustehen. Eine Vereinbarung, auf die im Konnossement lediglich verwiesen wird, ist nicht Inhalt des Konnossements."
"2077","HGB § 522 (2)"," Gegenüber einem im Konnossement benannten Empfänger, an den das Konnossement begeben wurde, kann der Verfrachter die Vermutungen nach § 517 nicht widerlegen, es sei denn, dem Empfänger war im Zeitpunkt der Begebung des Konnossements bekannt oder infolge grober Fahrlässigkeit unbekannt, dass die Angaben im Konnossement unrichtig sind. Gleiches gilt gegenüber einem Dritten, dem das Konnossement übertragen wurde."
"2078","HGB § 522 (3)"," Wird ein ausführender Verfrachter nach § 509 von dem aus dem Konnossement Berechtigten in Anspruch genommen, kann auch der ausführende Verfrachter die Einwendungen nach Absatz 1 geltend machen. Abweichend von Absatz 2 kann der ausführende Verfrachter darüber hinaus die Vermutungen nach § 517 widerlegen, wenn das Konnossement weder von ihm noch von einem für ihn zur Zeichnung von Konnossementen Befugten ausgestellt wurde."
"2079","HGB § 523 ","§ 523Haftung für unrichtige Konnossementsangaben
"
"2080","HGB § 523 (1)"," Der Verfrachter haftet für den Schaden, der dem aus dem Konnossement Berechtigten dadurch entsteht, dass die in das Konnossement nach den §§ 515 und 517 Absatz 2 aufzunehmenden Angaben und Vorbehalte fehlen oder die in das Konnossement aufgenommenen Angaben oder Vorbehalte unrichtig sind. Dies gilt insbesondere dann, wenn das Gut bei Übernahme durch den Verfrachter nicht in äußerlich erkennbar guter Verfassung war und das Konnossement hierüber weder eine Angabe nach § 515 Absatz 1 Nummer 7 noch einen Vorbehalt nach § 517 Absatz 2 enthält. Die Haftung nach den Sätzen 1 und 2 entfällt, wenn der Verfrachter weder gewusst hat noch bei Anwendung der Sorgfalt eines ordentlichen Verfrachters hätte wissen müssen, dass die Angaben fehlen oder unrichtig oder unvollständig sind."
"2081","HGB § 523 (2)"," Wird ein Bordkonnossement ausgestellt, bevor der Verfrachter das Gut übernommen hat, oder wird in das Übernahmekonnossement ein Bordvermerk aufgenommen, bevor das Gut an Bord genommen wurde, so haftet der Verfrachter, auch wenn ihn kein Verschulden trifft, für den Schaden, der dem aus dem Konnossement Berechtigten daraus entsteht."
"2082","HGB § 523 (3)"," Ist in einem Konnossement, das vom Kapitän oder von einem anderen zur Zeichnung von Konnossementen für den Reeder Befugten ausgestellt wurde, der Name des Verfrachters unrichtig angegeben, so haftet auch der Reeder für den Schaden, der dem aus dem Konnossement Berechtigten aus der Unrichtigkeit der Angabe entsteht. Die Haftung nach Satz 1 entfällt, wenn der Aussteller des Konnossements weder gewusst hat noch bei Anwendung der Sorgfalt eines ordentlichen Verfrachters hätte wissen müssen, dass der Name des Verfrachters nicht oder unrichtig angegeben ist."
"2083","HGB § 523 (4)"," Die Haftung nach den Absätzen 1 bis 3 ist auf den Betrag begrenzt, der bei Verlust des Gutes zu zahlen wäre."
"2084","HGB § 524 ","§ 524Traditionswirkung des Konnossements
Die Begebung des Konnossements an den darin benannten Empfänger hat, sofern der Verfrachter das Gut im Besitz hat, für den Erwerb von Rechten an dem Gut dieselben Wirkungen wie die Übergabe des Gutes. Gleiches gilt für die Übertragung des Konnossements an Dritte."
"2085","HGB § 525 ","§ 525Abweichende Bestimmung im Konnossement
Eine Bestimmung im Konnossement, die von den Haftungsvorschriften in den §§ 498 bis 511 oder in § 520 Absatz 2, § 521 Absatz 4 oder § 523 abweicht, ist nur wirksam, wenn die Voraussetzungen des § 512 erfüllt sind. Der Verfrachter kann sich jedoch auf eine Bestimmung im Konnossement, die von den in Satz 1 genannten Haftungsvorschriften zu Lasten des aus dem Konnossement Berechtigten abweicht, nicht gegenüber einem im Konnossement benannten Empfänger, an den das Konnossement begeben wurde, sowie gegenüber einem Dritten, dem das Konnossement übertragen wurde, berufen. Satz 2 gilt nicht für eine Bestimmung nach § 512 Absatz 2 Nummer 1."
"2086","HGB § 526 ","§ 526Seefrachtbrief. Verordnungsermächtigung
"
"2087","HGB § 526 (1)"," Der Verfrachter kann, sofern er nicht ein Konnossement ausgestellt hat, einen Seefrachtbrief ausstellen. Auf den Inhalt des Seefrachtbriefs ist § 515 entsprechend anzuwenden mit der Maßgabe, dass an die Stelle des Abladers der Befrachter tritt."
"2088","HGB § 526 (2)"," Der Seefrachtbrief dient bis zum Beweis des Gegenteils als Nachweis für Abschluss und Inhalt des Stückgutfrachtvertrages sowie für die Übernahme des Gutes durch den Verfrachter. § 517 ist entsprechend anzuwenden."
"2089","HGB § 526 (3)"," Der Seefrachtbrief ist vom Verfrachter zu unterzeichnen; eine Nachbildung der eigenhändigen Unterschrift durch Druck oder Stempel genügt."
"2090","HGB § 526 (4)"," Dem Seefrachtbrief gleichgestellt ist eine elektronische Aufzeichnung, die dieselben Funktionen erfüllt wie der Seefrachtbrief, sofern sichergestellt ist, dass die Authentizität und die Integrität der Aufzeichnung gewahrt bleiben (elektronischer Seefrachtbrief). Das Bundesministerium der Justiz wird ermächtigt, im Einvernehmen mit dem Bundesministerium des Innern und für Heimat durch Rechtsverordnung, die nicht der Zustimmung des Bundesrates bedarf, die Einzelheiten der Ausstellung und der Vorlage eines elektronischen Seefrachtbriefs sowie die Einzelheiten des Verfahrens über nachträgliche Eintragungen in einen elektronischen Seefrachtbrief zu regeln."
"2091","HGB NA ","Zweiter TitelReisefrachtvertrag"
"2092","HGB § 527 ","§ 527Reisefrachtvertrag
"
"2093","HGB § 527 (1)"," Durch den Reisefrachtvertrag wird der Verfrachter verpflichtet, das Gut mit einem bestimmten Schiff im Ganzen, mit einem verhältnismäßigen Teil eines bestimmten Schiffes oder in einem bestimmt bezeichneten Raum eines solchen Schiffes auf einer oder mehreren bestimmten Reisen über See zum Bestimmungsort zu befördern und dort dem Empfänger abzuliefern. Jede Partei kann die schriftliche Beurkundung des Reisefrachtvertrags verlangen."
"2094","HGB § 527 (2)"," Auf den Reisefrachtvertrag sind die §§ 481 bis 511 und 513 bis 525 entsprechend anzuwenden, soweit die §§ 528 bis 535 nichts anderes bestimmen."
"2095","HGB § 528 ","§ 528Ladehafen. Ladeplatz
"
"2096","HGB § 528 (1)"," Der Verfrachter hat das Schiff zur Einnahme des Gutes an den im Reisefrachtvertrag benannten oder an den vom Befrachter nach Abschluss des Reisefrachtvertrags zu benennenden Ladeplatz hinzulegen."
"2097","HGB § 528 (2)"," Ist ein Ladehafen oder ein Ladeplatz im Reisefrachtvertrag nicht benannt und hat der Befrachter den Ladehafen oder Ladeplatz nach Abschluss des Reisefrachtvertrags zu benennen, so muss er mit der gebotenen Sorgfalt einen sicheren Ladehafen oder Ladeplatz auswählen."
"2098","HGB § 529 ","§ 529Anzeige der Ladebereitschaft
"
"2099","HGB § 529 (1)"," Der Verfrachter hat, sobald das Schiff am Ladeplatz zur Einnahme des Gutes bereit ist, dem Befrachter die Ladebereitschaft anzuzeigen. Hat der Befrachter den Ladeplatz noch zu benennen, kann der Verfrachter die Ladebereitschaft bereits anzeigen, wenn das Schiff den Ladehafen erreicht hat."
"2100","HGB § 529 (2)"," Die Ladebereitschaft muss während der am Ladeplatz üblichen Geschäftsstunden angezeigt werden. Wird die Ladebereitschaft außerhalb der ortsüblichen Geschäftsstunden angezeigt, so gilt die Anzeige mit Beginn der auf sie folgenden ortsüblichen Geschäftsstunde als zugegangen."
"2101","HGB § 530 ","§ 530Ladezeit. Überliegezeit
"
"2102","HGB § 530 (1)"," Mit dem auf die Anzeige folgenden Tag beginnt die Ladezeit."
"2103","HGB § 530 (2)"," Für die Ladezeit kann, sofern nichts Abweichendes vereinbart ist, keine besondere Vergütung verlangt werden."
"2104","HGB § 530 (3)"," Wartet der Verfrachter auf Grund vertraglicher Vereinbarung oder aus Gründen, die nicht seinem Risikobereich zuzurechnen sind, über die Ladezeit hinaus (Überliegezeit), so hat er Anspruch auf eine angemessene Vergütung (Liegegeld). Macht der Empfänger nach Ankunft des Schiffes am Löschplatz sein Recht entsprechend § 494 Absatz 1 Satz 1 geltend, so schuldet auch er das Liegegeld, wenn ihm der geschuldete Betrag bei Ablieferung des Gutes mitgeteilt worden ist."
"2105","HGB § 530 (4)"," Die Ladezeit und die Überliegezeit bemessen sich mangels abweichender Vereinbarung nach einer den Umständen des Falles angemessenen Frist. Bei der Berechnung der Lade- und Überliegezeit werden die Tage in ununterbrochen fortlaufender Reihenfolge unter Einschluss der Sonntage und der Feiertage gezählt. Nicht in Ansatz kommt die Zeit, in der das Verladen des Gutes aus Gründen, die dem Risikobereich des Verfrachters zuzurechnen sind, unmöglich ist."
"2106","HGB § 531 ","§ 531Verladen
"
"2107","HGB § 531 (1)"," Soweit sich aus den Umständen oder der Verkehrssitte nicht etwas anderes ergibt, hat der Befrachter das Gut zu verladen. Die Verantwortung des Verfrachters für die Seetüchtigkeit des beladenen Schiffes bleibt unberührt."
"2108","HGB § 531 (2)"," Der Verfrachter ist nicht befugt, das Gut umzuladen."
"2109","HGB § 532 ","§ 532Kündigung durch den Befrachter
"
"2110","HGB § 532 (1)"," Der Befrachter kann den Reisefrachtvertrag jederzeit kündigen."
"2111","HGB § 532 (2)"," Kündigt der Befrachter, so kann der Verfrachter, wenn er einen Anspruch nach § 489 Absatz 2 Satz 1 Nummer 1 geltend macht, auch ein etwaiges Liegegeld verlangen."
"2112","HGB § 533 ","§ 533Teilbeförderung
"
"2113","HGB § 533 (1)"," Der Befrachter kann jederzeit verlangen, dass der Verfrachter nur einen Teil des Gutes befördert. Macht der Befrachter von diesem Recht Gebrauch, gebühren dem Verfrachter die volle Fracht, das etwaige Liegegeld sowie Ersatz der Aufwendungen, die ihm durch das Fehlen eines Teils des Gutes entstehen. Ist der Verfrachter nach dem Reisefrachtvertrag berechtigt, mit demselben Schiff anstelle der nicht verladenen Frachtstücke anderes Gut zu befördern, und macht er von diesem Recht Gebrauch, so ist von der vollen Fracht die Fracht für die Beförderung dieses anderen Gutes abzuziehen. Soweit dem Verfrachter durch das Fehlen eines Teils des Gutes die Sicherheit für die volle Fracht entgeht, kann er außerdem eine anderweitige Sicherheit verlangen. Unterbleibt die Beförderung der vollständigen Ladung aus Gründen, die dem Risikobereich des Verfrachters zuzurechnen sind, steht dem Verfrachter der Anspruch nach den Sätzen 2 bis 4 nur insoweit zu, als tatsächlich Gut befördert wird."
"2114","HGB § 533 (2)"," Verlädt der Befrachter das Gut nicht oder nicht vollständig innerhalb der Ladezeit und einer vereinbarten Überliegezeit oder wird das Gut, wenn dem Befrachter die Verladung nicht obliegt, nicht oder nicht vollständig innerhalb dieser Zeit abgeladen, so kann der Verfrachter dem Befrachter eine angemessene Frist setzen, innerhalb derer das Gut verladen oder abgeladen werden soll. Wird das Gut bis zum Ablauf der Frist nur teilweise verladen oder abgeladen, kann der Verfrachter die bereits verladenen oder abgeladenen Frachtstücke befördern und die Ansprüche nach Absatz 1 Satz 2 bis 4 geltend machen. § 490 Absatz 4 ist entsprechend anzuwenden."
"2115","HGB § 534 ","§ 534Kündigung durch den Verfrachter
"
"2116","HGB § 534 (1)"," Verlädt der Befrachter kein Gut innerhalb der Ladezeit und einer vereinbarten Überliegezeit oder wird, wenn dem Befrachter die Verladung nicht obliegt, kein Gut innerhalb dieser Zeit abgeladen, so kann der Verfrachter den Vertrag nach Maßgabe des § 490 kündigen und die Ansprüche nach § 489 Absatz 2 in Verbindung mit § 532 Absatz 2 geltend machen."
"2117","HGB § 534 (2)"," Der Verfrachter kann den Vertrag bereits vor Ablauf der Ladezeit und einer vereinbarten Überliegezeit nach Maßgabe des § 490 kündigen, wenn offensichtlich ist, dass das Gut nicht verladen oder abgeladen wird."
"2118","HGB § 535 ","§ 535Löschen
"
"2119","HGB § 535 (1)"," Die §§ 528 bis 531 über Ladehafen und Ladeplatz, Anzeige der Ladebereitschaft, Ladezeit und Verladen sind entsprechend auf Löschhafen und Löschplatz, Anzeige der Löschbereitschaft, Löschzeit und Löschen anzuwenden. Abweichend von § 530 Absatz 3 Satz 2 schuldet der Empfänger jedoch auch dann Liegegeld wegen Überschreitung der Löschzeit, wenn ihm der geschuldete Betrag bei Ablieferung des Gutes nicht mitgeteilt worden ist."
"2120","HGB § 535 (2)"," Ist der Empfänger dem Verfrachter unbekannt, so ist die Anzeige der Löschbereitschaft durch öffentliche Bekanntmachung in ortsüblicher Weise zu bewirken."
"2121","HGB NA ","Zweiter UnterabschnittPersonenbeförderungsverträge"
"2122","HGB § 536 ","§ 536Anwendungsbereich
"
"2123","HGB § 536 (1)"," Für Schäden, die bei der Beförderung von Fahrgästen und ihrem Gepäck über See durch den Tod oder die Körperverletzung eines Fahrgasts oder durch den Verlust, die Beschädigung oder verspätete Aushändigung von Gepäck entstehen, haften der Beförderer und der ausführende Beförderer nach den Vorschriften dieses Unterabschnitts. Das Recht, eine Beschränkung der Haftung nach den §§ 611 bis 617 oder den §§ 4 bis 5n des Binnenschifffahrtsgesetzes geltend zu machen, bleibt unberührt."
"2124","HGB § 536 (2)"," Die Vorschriften dieses Unterabschnitts gelten nicht, soweit die folgenden Regelungen maßgeblich sind: 1.unmittelbar anwendbare Regelungen der Europäischen Union in ihrer jeweils geltenden Fassung, insbesondere die Verordnung (EG) Nr. 392/2009 des Europäischen Parlaments und des Rates vom 23. April 2009 über die Unfallhaftung von Beförderern von Reisenden auf See (ABl. L 131 vom 28.5.2009, S. 24), oder2.unmittelbar anwendbare Regelungen in völkerrechtlichen Übereinkünften.Die Haftungsvorschriften dieses Unterabschnitts gelten ferner nicht, wenn der Schaden auf einem von einer Kernanlage ausgehenden nuklearen Ereignis beruht und der Inhaber der Kernanlage nach den Vorschriften des Übereinkommens vom 29. Juli 1960 über die Haftung gegenüber Dritten auf dem Gebiet der Kernenergie in der Fassung der Bekanntmachung vom 5. Februar 1976 (BGBl. 1976 II S. 310, 311) und des Protokolls vom 16. November 1982 (BGBl. 1985 II S. 690) oder des Atomgesetzes haftet."
"2125","HGB § 537 ","§ 537Begriffsbestimmungen
Im Sinne dieses Unterabschnitts ist 1.ein Beförderer eine Person, die einen Vertrag über die Beförderung eines Fahrgasts über See (Personenbeförderungsvertrag) schließt;2.ein Fahrgast eine Person, die a)auf Grund eines Personenbeförderungsvertrags befördert wird oderb)mit Zustimmung des Beförderers ein Fahrzeug oder lebende Tiere, die auf Grund eines Seefrachtvertrags befördert werden, begleitet;3.Gepäck jeder Gegenstand, der auf Grund eines Personenbeförderungsvertrags befördert wird, ausgenommen lebende Tiere;4.Kabinengepäck das Gepäck, das ein Fahrgast in seiner Kabine oder sonst in seinem Besitz hat, einschließlich des Gepäcks, das ein Fahrgast in oder auf seinem Fahrzeug hat;5.ein Schifffahrtsereignis ein Schiffbruch, ein Kentern, ein Zusammenstoß oder eine Strandung des Schiffes, eine Explosion oder ein Feuer im Schiff oder ein Mangel des Schiffes;6.ein Mangel des Schiffes eine Funktionsstörung, ein Versagen oder eine Nichteinhaltung von anwendbaren Sicherheitsvorschriften in Bezug auf einen Teil des Schiffes oder seiner Ausrüstung, wenn dieser Teil oder diese Ausrüstung verwendet wird a)für das Verlassen des Schiffes, die Evakuierung oder die Ein- und Ausschiffung der Fahrgäste,b)für den Schiffsantrieb, die Ruderanlage, die sichere Schiffsführung, das Festmachen, das Ankern, das Anlaufen oder Verlassen des Liege- oder Ankerplatzes oder die Lecksicherung nach Wassereinbruch oderc)für das Aussetzen von Rettungsmitteln."
"2126","HGB § 538 ","§ 538Haftung des Beförderers für Personenschäden
"
"2127","HGB § 538 (1)"," Der Beförderer haftet für den Schaden, der durch den Tod oder die Körperverletzung eines Fahrgasts entsteht, wenn das den Schaden verursachende Ereignis während der Beförderung eingetreten ist und auf einem Verschulden des Beförderers beruht. Ist das den Schaden verursachende Ereignis ein Schifffahrtsereignis, wird das Verschulden vermutet."
"2128","HGB § 538 (2)"," Abweichend von Absatz 1 haftet der Beförderer ohne Verschulden für den Schaden, der durch den Tod oder die Körperverletzung eines Fahrgasts auf Grund eines Schifffahrtsereignisses während der Beförderung entsteht, soweit der Schaden den Betrag von 250 000 Rechnungseinheiten nicht übersteigt. Der Beförderer ist jedoch von dieser Haftung befreit, wenn das Ereignis 1.infolge von Feindseligkeiten, einer Kriegshandlung, eines Bürgerkriegs, eines Aufstands oder eines außergewöhnlichen, unvermeidlichen und unabwendbaren Naturereignisses eingetreten ist oder2.ausschließlich durch eine Handlung oder Unterlassung verursacht wurde, die von einem Dritten in der Absicht, das Ereignis zu verursachen, begangen wurde."
"2129","HGB § 538 (3)"," Die Beförderung im Sinne der Absätze 1 und 2 umfasst 1.den Zeitraum, in dem sich der Fahrgast an Bord des Schiffes befindet, einschließlich des Zeitraums, in dem er ein- und ausgeschifft wird, sowie2.den Zeitraum, in dem der Fahrgast auf dem Wasserweg vom Land auf das Schiff oder umgekehrt befördert wird, wenn die Kosten dieser Beförderung im Beförderungsentgelt inbegriffen sind oder wenn das für diese zusätzliche Beförderung benutzte Wasserfahrzeug dem Fahrgast vom Beförderer zur Verfügung gestellt worden ist.Nicht erfasst ist der Zeitraum, in dem sich der Fahrgast in einer Hafenstation, auf einem Kai oder in oder auf einer anderen Hafenanlage befindet."
"2130","HGB § 539 ","§ 539Haftung des Beförderers für Gepäck-  und Verspätungsschäden
"
"2131","HGB § 539 (1)"," Der Beförderer haftet für den Schaden, der durch Verlust oder Beschädigung von Kabinengepäck oder von anderem Gepäck entsteht, wenn das den Schaden verursachende Ereignis während der Beförderung eingetreten ist und auf einem Verschulden des Beförderers beruht. Bei Verlust oder Beschädigung von Kabinengepäck auf Grund eines Schifffahrtsereignisses und bei Verlust oder Beschädigung anderen Gepäcks wird das Verschulden vermutet."
"2132","HGB § 539 (2)"," Der Beförderer haftet entsprechend Absatz 1 auch für den Schaden, der daraus entsteht, dass das Gepäck dem Fahrgast nicht innerhalb einer angemessenen Frist nach Ankunft des Schiffes, auf dem das Gepäck befördert worden ist oder hätte befördert werden sollen, wieder ausgehändigt worden ist. Die Haftung ist jedoch ausgeschlossen, wenn die verspätete Aushändigung auf Arbeitsstreitigkeiten zurückzuführen ist."
"2133","HGB § 539 (3)"," Abweichend von den Absätzen 1 und 2 haftet der Beförderer nicht für den Schaden, der durch Verlust, Beschädigung oder verspätete Aushändigung von Geld, begebbaren Wertpapieren, Gold, Silber, Juwelen, Schmuck, Kunstgegenständen oder sonstigen Wertsachen entsteht, es sei denn, dass solche Wertsachen bei dem Beförderer zur sicheren Aufbewahrung hinterlegt worden sind."
"2134","HGB § 539 (4)"," Die Beförderung im Sinne des Absatzes 1 umfasst folgende Zeiträume: 1.hinsichtlich des Kabinengepäcks mit Ausnahme des Gepäcks, das der Fahrgast in oder auf seinem Fahrzeug hat, a)den Zeitraum, in dem sich das Kabinengepäck an Bord des Schiffes befindet, einschließlich des Zeitraums, in dem das Kabinengepäck ein- und ausgeschifft wird,b)den Zeitraum, in dem das Kabinengepäck auf dem Wasserweg vom Land auf das Schiff oder umgekehrt befördert wird, wenn die Kosten dieser Beförderung im Beförderungspreis inbegriffen sind oder wenn das für diese zusätzliche Beförderung benutzte Wasserfahrzeug dem Fahrgast vom Beförderer zur Verfügung gestellt worden ist, sowiec)den Zeitraum, in dem sich der Fahrgast in einer Hafenstation, auf einem Kai oder in oder auf einer anderen Hafenanlage befindet, wenn das Kabinengepäck von dem Beförderer oder seinen Bediensteten oder Beauftragten übernommen und dem Fahrgast nicht wieder ausgehändigt worden ist;2.hinsichtlich anderen Gepäcks als des in Nummer 1 genannten Kabinengepäcks den Zeitraum von der Übernahme durch den Beförderer an Land oder an Bord bis zur Wiederaushändigung."
"2135","HGB § 540 ","§ 540Haftung für andere
Der Beförderer hat ein Verschulden seiner Leute und der Schiffsbesatzung in gleichem Umfang zu vertreten wie eigenes Verschulden, wenn die Leute und die Schiffsbesatzung in Ausübung ihrer Verrichtungen handeln. Gleiches gilt für ein Verschulden anderer Personen, deren er sich bei der Ausführung der Beförderung bedient."
"2136","HGB § 541 ","§ 541Haftungshöchstbetrag bei Personenschäden
"
"2137","HGB § 541 (1)"," Die Haftung des Beförderers wegen Tod oder Körperverletzung eines Fahrgasts ist in jedem Fall auf einen Betrag von 400 000 Rechnungseinheiten je Fahrgast und Schadensereignis beschränkt. Dies gilt auch für den Kapitalwert einer als Entschädigung zu leistenden Rente."
"2138","HGB § 541 (2)"," Abweichend von Absatz 1 ist die Haftung des Beförderers auf einen Betrag von 250 000 Rechnungseinheiten je Fahrgast und Schadensereignis beschränkt, wenn der Tod oder die Körperverletzung auf einem der folgenden Umstände beruht: 1.Krieg, Bürgerkrieg, Revolution, Aufruhr, Aufständen oder dadurch veranlassten inneren Unruhen oder feindlichen Handlungen durch oder gegen eine Krieg führende Macht,2.Beschlagnahme, Pfändung, Arrest, Verfügungsbeschränkung oder Festhalten sowie deren Folgen oder dahingehenden Versuchen,3.zurückgelassenen Minen, Torpedos, Bomben oder sonstigen zurückgelassenen Kriegswaffen,4.Anschlägen von Terroristen oder Personen, die die Anschläge böswillig oder aus politischen Beweggründen begehen, und Maßnahmen, die zur Verhinderung oder Bekämpfung solcher Anschläge ergriffen werden,5.Einziehung und Enteignung."
"2139","HGB § 541 (3)"," Bei Tod oder Körperverletzung mehrerer Fahrgäste tritt bei Anwendung des Absatzes 2 an die Stelle des darin genannten Betrages von 250 000 Rechnungseinheiten je Fahrgast und Schadensereignis der Betrag von 340 Millionen Rechnungseinheiten je Schiff und Schadensereignis, wenn dieser Betrag niedriger ist und unter den Geschädigten im Verhältnis der Höhe ihrer Ansprüche und in Form einer einmaligen Zahlung oder in Form von Teilzahlungen aufgeteilt werden kann."
"2140","HGB § 542 ","§ 542Haftungshöchstbetrag bei Gepäck- und Verspätungsschäden
"
"2141","HGB § 542 (1)"," Die Haftung des Beförderers wegen Verlust, Beschädigung oder verspäteter Aushändigung von Kabinengepäck ist, soweit Absatz 2 nichts Abweichendes bestimmt, auf einen Betrag von 2 250 Rechnungseinheiten je Fahrgast und Beförderung beschränkt."
"2142","HGB § 542 (2)"," Die Haftung des Beförderers wegen Verlust, Beschädigung oder verspäteter Aushändigung von Fahrzeugen, einschließlich des in oder auf dem Fahrzeug beförderten Gepäcks, ist auf einen Betrag von 12 700 Rechnungseinheiten je Fahrzeug und je Beförderung beschränkt."
